Title,Original,Generated
Wonder Woman,Courageous princess. Fierce warrior. Legendary superhero.,The story of a woman who defied the law and defied destiny.
Love Letters of a Portuguese Nun,Satanic lust behind cloister walls...,It's not just a dream...it's a nightmare.
Female Trouble,Nice girls don't wear cha-cha heels.,She was born to be a mother.
The Age of Adaline,Love is timeless.,Sometimes you have to change your past to find your true self.
Blondie Johnson,LOVE made her beautiful... WANT made her daring... MEN made her ruthless!,She's got a lot to live up to...
The Right Stuff,How the future began.,The first manned mission to the moon.
RoboCroc,Everybody Out of the Pool,It's not just a game.
Revenge of the Nerds,The time has come for REVENGE OF THE NERDS,It's not a fraternity...
Sabrina,You are cordially invited to the most surprising merger of the year.,"It's not what you think it is, it's how you feel."
August: Osage County,Misery loves family,The story of two families.
Whiplash,The road to greatness can take you to the edge.,"He's a drummer, but he's also a man."
3:10 to Yuma,The Lonesome Whistle of a Train... bringing the gallows closer to a desperado--the showdown nearer to his captor!,He's the only one who can stop them...
Welcome Home Brother Charles,They Tried To Take Everything - Even His Manhood!,The story of one man's struggle to make a difference in the world.
Test Pilot,They're yours... in a heart-walloping love story!,"It's not what you think, it's what the world thinks."
The Million Pound Note,Great fun... you can bank on it!,The story of a man who made the mistake of trusting a woman who gave him
The Truth,The truth... Is always complicated.,It's not just a robbery...
The Letter,"Blinded by the fury of passion - by the despair of a lost love -- she had not reckoned with ""The Letter""",It's not murder...
Not as a Stranger,stands alone! first as a book... now as a motion picture!,A love story that will change your life forever.
The Contract,Every Killer Meets His Equal.,He's out to get you.
Salvage,Fear Cannot Be Contained,"It's not what you think it is, it's who you are."
Wizards of the Lost Kingdom,A Brave Boy And A Great Warrior Seek The Ring Of Ultimate Power,The greatest adventure of all time
Dead Bang,For one cop this isn't just a case. It's a war.,The only way out is to find the killer.
The Elephant Man,I am not an animal! I am a human being! I... am... a man!,The man who made the world a better place.
One for the Money,She's looking for a few not-so-good men,It's not just a job.
Zombie Christ,The Most Blasphemous Story Ever Told,The Last Supper of the Dead
Naqoyqatsi,America is test-driving the future,The story of a man and a woman in the 21st century.
Grandma's Boy,A movie that proves you're never too old to come of age.,You can't play video games unless you have a heart of gold.
The Newton Boys,Four Brothers. Four Criminals. For The Money... They Would Stop At Nothing.,The story of a family that made a fortune by robbing banks.
The Apostle,The hardest soul to save was his own.,A preacher's life is turned upside down when he meets a woman he never knew
How I Got Into College,"A horror story so intense, so barbaric, so frightening it will have you running for your local army recruiter.","It's not about the grades, it's about who you are."
Tanya's Island,Where her wildest fantasies turned to terror.,She's the only one who can escape from the nightmare of her past.
Resident Evil: Retribution,The Ultimate Battle Begins,It's not just a virus.
From Noon Till Three,The most wanted men in the west!,The story of a man who risked everything to get what he wanted.
Fan,World's biggest superstar got the universe's biggest fan!,"It's not just a movie, it's a life."
Half Light,When the darkness falls the dead will rise.,It's not what you think it is.
Keeping Up with the Joneses,They lived a normal life... Until the Joneses moved in.,It's not what you think it is.
Nazty Nuisance,GET READY FOR ROARS! THEY'RE GOING TO DROP HITLER ON BERLIN...When Hal Roach Presents,The greatest adventure of all time is about to begin!
Wolf Creek 2,The Outback Can Be Crazy This Time Of Year,It's not just a monster.
Godzilla vs. Destoroyah,Get Ready for a Three-Way Monster Melee!,"It's not just a Godzilla movie, it's a monster movie!"
Gran Torino,Ever come across somebody you shouldn't have messed with?,The story of a man with a heart of gold and a soul of steel.
The Jericho Mile,Behind the wall of this prison is a man traning to challenge the Olympic record..,He's the only man in the world who can run away from prison.
The Cowboy and the Lady,MERLE ropes Gary! GARY brands Merle!,The story of a woman who risked everything to become a cowboy.
I'm Reed Fish,Reed Fish's life turns into chaos when a high school crush returns on the eve of his marriage to the small town's sweetheart.,The funniest comedy of them all.
North Country,All She Wanted Was To Make A Living. Instead She Made History.,The story of a man who fought for his right to be free.
2016: Obama's America,"Love Him, Hate Him, You Don't Know Him",The story of America's first black president.
Communion,The true story of one man's terrifying journey into the unknown.,The story of a man who changed his life forever.
The Pianist,Music was his passion. Survival was his masterpiece.,"A story of love, courage, and hope"
Repo Men,"For a price, any organ in your body can be replaced. But it can also be repossessed.",The future is about to get even scarier.
A Beautiful Planet,A Beautiful Planet,Earth is the most beautiful place on Earth.
Attack of the 50 Foot Cheerleader,Look at the size of those pom poms!,She's got it all.
The Edukators,Every heart is a revolutionary cell.,The truth is stranger than fiction.
Xtro 2: The Second Encounter,Part Alien. Part Predator. All Terror.,It's not just a matter of time.
Small Gods,Elena's Elegy,She's lost everything.
Rise: Blood Hunter,They didn't leave her alive. They left her UNDEAD.,She was a reporter.
Jurassic City,Throwing L.A. Back to the Stone Ages,The most terrifying movie of all time!
Worth Winning,An engaging comedy about a bachelor and three near Mrs.,He's the man of the house.
The Witch,Evil takes many forms.,The story of a family that defied the odds and defied fate.
When the Bough Breaks,She's carrying more than just a secret.,It's not just a question of whether or not to give.
Madagascar 3: Europe's Most Wanted,"Six years ago, they disappeared without a trace. Next summer, they finally resurface.",They're back!
The Legend of Bloody Mary,Her vision... will be your last,You can't escape your demons.
Tom at the Farm,What you don't know will hurt you,It's not what you think it is...
Rites of Spring,Fear has a season,It's not just a game.
The Exorcism of Emily Rose,What happened to Emily?,The truth is stranger than fiction
The Pursuit of D.B. Cooper,Who says you can't take it with you?,"There's no such thing as a good cop."" -- FBI Agent"
Bachelor in Paradise,THE TRUE CONFESSIONS and INTIMATE SECRETS of the world's greatest authority on LOVE,The story of one man's quest to find his true love.
Drag Me to Hell,"Christine Brown has a good job, a great boyfriend, and a bright future. But in three days, she's going to hell.",It's not just a curse...
Solitary,Some Mysteries Must Be Solved Alone,Sometimes the only way out is to stay alive.
This Is My Father,A Journey Of The Heart.,The story of a man and a woman who are destined to become one.
London to Brighton,Innocence has nowhere to hide,The story of a girl who was raped and murdered by her boyfriend.
The Big Red One,"Only chance could have thrown them together. Now, nothing can pull them apart.",The story of a man who risked everything to save his country.
The Eagle Has Landed,The daring World War II plot that changed the course of history.,The story of a man who risked everything to save the world.
For the Love of Spock,Live long...,The story of a man who changed the face of the universe.
Green Lantern,"In our darkest hour, there will be light.",The greatest hero of all time is about to become a hero.
The Sound and the Shadow,Be careful what you listen for.,You can hear it in your head.
Rembetiko,rempetiko rembetiko mousiki,She was born to sing.
Black Snow,Would you be able to keep a secret?,The story of a man who sold his land to buy the land for himself.
Man of the World,Beyond the 'shadow of the Law',Love is the most powerful weapon in the hands of the devil.
I'll Get By,TOPS IN ROMANCE...GREAT IN ITS HILARIOUS COMEDY!!,"A comedy about love, music, and love at the same time."
